TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
SCRUM_CUST_VIEW_EDIT_TC_001,Table Interaction,High,Kiểm tra hover chuột và click vào dòng khách hàng để mở View Mode,Có sẵn ít nhất 1 khách hàng trong hệ thống. Người dùng đã đăng nhập và đang ở trang danh sách khách hàng.,"1. Di chuột (hover) qua dòng của khách hàng ""Acme Corporation"".
2. Nhấp chuột vào dòng này (ở cột tên khách hàng).","Khách hàng: ""Acme Corporation"" (ID: 101)","1. Khi hover: Con trỏ chuột đổi sang dạng bàn tay (`cursor: pointer`), dòng khách hàng được highlight nhẹ màu nền.
2. Khi click: Hệ thống điều hướng thành công sang trang xem chi tiết tại URL `/customers/view/101`.",Critical
SCRUM_CUST_VIEW_EDIT_TC_002,Table Interaction,Medium,Kiểm tra click nút Edit ở cột Action không mở trang View Mode,Có sẵn danh sách khách hàng.,"1. Nhấp chuột vào nút ""Edit"" ở cột Action của khách hàng ""Acme Corporation"".","Khách hàng: ""Acme Corporation"" (ID: 101)","1. Hệ thống điều hướng người dùng thẳng tới trang chỉnh sửa khách hàng (`/customers/101/edit`).
2. Không điều hướng sang trang View Mode (`/customers/view/101`).",High
SCRUM_CUST_VIEW_EDIT_TC_003,Table Interaction,Medium,Kiểm tra click nút Delete ở cột Action không mở trang View Mode,Có sẵn danh sách khách hàng.,"1. Nhấp chuột vào nút ""Delete"" ở cột Action của khách hàng ""Acme Corporation"".","Khách hàng: ""Acme Corporation"" (ID: 101)","1. Hệ thống hiển thị Modal xác nhận xóa khách hàng.
2. Trang View Mode của khách hàng không bị mở ra bên dưới.",High
SCRUM_CUST_VIEW_EDIT_TC_004,Detail Display,High,Kiểm tra hiển thị đầy đủ thông tin khách hàng ở trạng thái Read-only tại View Mode,"Đã click vào dòng khách hàng ""Acme Corporation"" và đang ở trang View Mode.",1. Quan sát giao diện trang xem chi tiết khách hàng.,"Dữ liệu khách hàng trong DB:
- Name: ""Acme Corporation""
- Contact: ""John Doe""
- Phone: ""0912345678""
- Email: ""john.doe@acme.com""
- Location: ""123 Main St""
- City: ""Da Nang""
- State: ""Hai Chau""
- Status: ""Active""","1. Trang hiển thị đầy đủ 7 trường thông tin: Customer Name, Primary Contact, Phone, Email, Service Location, City, State, Status.
2. Dữ liệu khớp chính xác với DB.
3. Tất cả các trường thông tin hiển thị dưới dạng văn bản tĩnh (Read-only), không thể gõ hay chỉnh sửa.",Critical
SCRUM_CUST_VIEW_EDIT_TC_005,Authorization,High,Kiểm tra hiển thị Pencil Icon cho người dùng có quyền chỉnh sửa,Đăng nhập bằng tài khoản Admin (hoặc Manager có quyền sửa).,"1. Truy cập vào trang View Mode của khách hàng ""Acme Corporation"".
2. Quan sát sự xuất hiện của pencil icon.",Tài khoản: admin_user_01 (Quyền: Admin),1. Biểu tượng chiếc bút chì (pencil icon) hiển thị rõ ràng tại góc trên bên phải hoặc bên cạnh tên khách hàng.,High
SCRUM_CUST_VIEW_EDIT_TC_006,Authorization,High,Kiểm tra ẩn Pencil Icon cho người dùng chỉ có quyền Xem (Read-only),Đăng nhập bằng tài khoản Read-only.,"1. Truy cập vào trang View Mode của khách hàng ""Acme Corporation"".
2. Quan sát sự xuất hiện của pencil icon.",Tài khoản: read_only_user_01 (Quyền: Read-only),1. Biểu tượng chiếc bút chì (pencil icon) hoàn toàn bị ẩn đi hoặc không hiển thị trên giao diện.,High
SCRUM_CUST_VIEW_EDIT_TC_007,Mode Transition,High,Kiểm tra kích hoạt chế độ chỉnh sửa trực tiếp khi click Pencil Icon,Đăng nhập tài khoản Admin và đang ở trang View Mode của khách hàng.,"1. Click vào biểu tượng chiếc bút chì (pencil icon).
2. Quan sát sự thay đổi trên giao diện.","Khách hàng: ""Acme Corporation"" (ID: 101)","1. Giao diện chuyển sang chế độ chỉnh sửa (Inline Editing).
2. Các trường thông tin tĩnh chuyển thành form nhập liệu (input box, select box).
3. Pencil icon ẩn đi.
4. Nút ""Save"" và ""Cancel"" xuất hiện rõ ràng.",Critical
SCRUM_CUST_VIEW_EDIT_TC_008,Inline Edit,High,Kiểm tra chỉnh sửa thông tin khách hàng hợp lệ và click Save thành công,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập Tên mới: ""Acme Corporation Group""
2. Nhập Email mới: ""contact@acmegroup.com""
3. Click nút ""Save"".","Dữ liệu nhập:
- Name: ""Acme Corporation Group""
- Email: ""contact@acmegroup.com""","1. Hệ thống hiển thị toast message: ""Customer updated successfully"".
2. Giao diện tự động chuyển về View Mode (Read-only).
3. Dữ liệu mới được cập nhật hiển thị chính xác: Name là ""Acme Corporation Group"", Email là ""contact@acmegroup.com"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_009,Inline Edit,High,Kiểm tra chỉnh sửa thông tin khách hàng và click Cancel,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Thay đổi trường Primary Contact thành ""Jane Doe"".
2. Click nút ""Cancel"".","Thay đổi: ""Jane Doe""","1. UI quay về View Mode (Read-only).
2. Dữ liệu cũ được khôi phục, không có thay đổi nào được lưu (Primary Contact vẫn là ""John Doe"").",High
SCRUM_CUST_VIEW_EDIT_TC_010,Inline Edit,Medium,Kiểm tra Dirty check khi thoát trang khi có thay đổi chưa lưu,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng và đã thay đổi dữ liệu.,"1. Nhập thay đổi vào trường Phone: ""0999888777"".
2. Click nút điều hướng ""Back to List"" trên menu hoặc nút back của trình duyệt.","Nhập Phone: ""0999888777""","1. Hệ thống hiển thị Modal cảnh báo: ""You have unsaved changes. Are you sure you want to leave?"".
2. Click ""Stay"": Modal đóng, người dùng vẫn ở trang Edit.
3. Click ""Leave"": Hệ thống quay về danh sách, dữ liệu cũ giữ nguyên.",Medium
