TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
SCRUM_CUSTOMER_TC_001,Customer Data Table,High,Kiểm tra hiển thị giao diện bảng danh sách khách hàng mặc định khi truy cập lần đầu.,Có sẵn ít nhất 15 khách hàng trong hệ thống. Người dùng đã đăng nhập và có quyền xem danh sách khách hàng.,"1. Truy cập vào màn hình ""Customer List & Management"".
2. Quan sát giao diện bảng hiển thị dữ liệu.",N/A,"1. Bảng hiển thị đầy đủ 8 cột: Customer Name, Primary Contact, Phone, Email, Service Location, City, State, Status, Action.
2. Cột Action chứa 2 nút Edit và Delete.
3. Dữ liệu mặc định sắp xếp theo cột Customer Name tăng dần (A-Z).
4. Hiển thị đúng 10 bản ghi đầu tiên.
5. Cấu phần phân trang hiển thị phía dưới bảng.",Critical
SCRUM_CUSTOMER_TC_002,Customer Data Table,High,Kiểm tra sắp xếp (Sorting) tăng dần cho cột Customer Name.,Có sẵn dữ liệu khách hàng trong hệ thống. Đang ở trang danh sách khách hàng.,"1. Click vào tiêu đề cột ""Customer Name"" lần đầu tiên.
2. Quan sát thứ tự hiển thị của các bản ghi khách hàng.",N/A,"1. Tiêu đề cột ""Customer Name"" hiển thị icon sắp xếp tăng dần (mũi tên hướng lên).
2. Danh sách khách hàng được sắp xếp theo thứ tự bảng chữ cái A-Z của trường Customer Name.",High
SCRUM_CUSTOMER_TC_003,Customer Data Table,High,Kiểm tra sắp xếp (Sorting) giảm dần cho cột Customer Name.,"Đang ở trang danh sách khách hàng. Tiêu đề cột ""Customer Name"" đang sắp xếp tăng dần.","1. Click vào tiêu đề cột ""Customer Name"" thêm một lần nữa.
2. Quan sát thứ tự hiển thị của các bản ghi khách hàng.",N/A,"1. Tiêu đề cột ""Customer Name"" hiển thị icon sắp xếp giảm dần (mũi tên hướng xuống).
2. Danh sách khách hàng được sắp xếp theo thứ tự ngược bảng chữ cái Z-A của trường Customer Name.",High
SCRUM_CUSTOMER_TC_004,Search Bar,Medium,Tìm kiếm khách hàng bằng tên khớp hoàn toàn (Exact Match).,"Hệ thống có sẵn khách hàng tên ""Acme Corporation"".","1. Nhập vào ô tìm kiếm: ""Acme Corporation""
2. Chờ 300ms và quan sát kết quả tự động hiển thị trên bảng.","Search keyword: ""Acme Corporation""","1. Bảng chỉ hiển thị các dòng khách hàng có tên chính xác là ""Acme Corporation"".
2. Bộ phân trang cập nhật lại tổng số bản ghi và tổng số trang tương ứng.",Critical
SCRUM_CUSTOMER_TC_005,Search Bar,Medium,Tìm kiếm khách hàng bằng một phần tên (Partial Match) và không phân biệt chữ hoa/thường.,"Hệ thống có sẵn các khách hàng tên ""DataHouse Asia"", ""datahouse technology"", ""Big House"".","1. Nhập vào ô tìm kiếm: ""house""
2. Chờ 300ms và quan sát danh sách kết quả hiển thị trên bảng.","Search keyword: ""house""","1. Bảng hiển thị tất cả các khách hàng có tên chứa từ ""house"" (không phân biệt chữ hoa thường), bao gồm: ""DataHouse Asia"", ""datahouse technology"", ""Big House"".",High
SCRUM_CUSTOMER_TC_006,Search Bar,Medium,Tìm kiếm với từ khóa không tồn tại trên hệ thống.,Đang ở trang danh sách khách hàng.,"1. Nhập vào ô tìm kiếm: ""InvalidCustomerName123""
2. Chờ 300ms và quan sát kết quả hiển thị.","Search keyword: ""InvalidCustomerName123""","1. Bảng không hiển thị dòng khách hàng nào.
2. Bảng hiển thị thông báo trống: ""No matching records found"" (hoặc tương đương).
3. Cấu phần phân trang hiển thị 0/0 trang hoặc ẩn.",High
SCRUM_CUSTOMER_TC_007,Search Bar,Medium,Kiểm tra an toàn bảo mật (SQL Injection) trên ô tìm kiếm.,Đang ở trang danh sách khách hàng.,"1. Nhập vào ô tìm kiếm chuỗi SQL Injection: ""' OR 1=1--""
2. Chờ 300ms và quan sát phản hồi của hệ thống.","Search keyword: ""' OR 1=1--""","1. Hệ thống không bị crash hoặc lỗi cơ sở dữ liệu.
2. Hệ thống xử lý chuỗi nhập vào như một chuỗi văn bản thông thường và hiển thị thông báo không tìm thấy kết quả.",High
SCRUM_CUSTOMER_TC_008,Search Bar,Medium,Kiểm tra an toàn bảo mật (XSS Injection) trên ô tìm kiếm.,Đang ở trang danh sách khách hàng.,"1. Nhập vào ô tìm kiếm chuỗi mã độc XSS: ""<script>alert('xss')</script>""
2. Chờ 300ms và quan sát phản hồi của hệ thống.","Search keyword: ""<script>alert('xss')</script>""","1. Không có popup alert nào hiển thị.
2. Hệ thống escape chuỗi đầu vào an toàn và hiển thị thông báo không tìm thấy kết quả.",High
SCRUM_CUSTOMER_TC_009,Status Filter,Medium,"Lọc danh sách khách hàng theo trạng thái ""Active"".",Hệ thống có cả khách hàng Active và Inactive.,"1. Click chọn bộ lọc trạng thái (Status Filter).
2. Chọn tùy chọn ""Active"".
3. Quan sát cột Status của các khách hàng hiển thị trong bảng.","Filter: ""Active""","1. Bảng chỉ hiển thị các khách hàng có trạng thái là ""Active"".
2. Không hiển thị bất kỳ khách hàng nào có trạng thái ""Inactive"".",High
SCRUM_CUSTOMER_TC_010,Status Filter,Medium,"Lọc danh sách khách hàng theo trạng thái ""Inactive"".",Hệ thống có cả khách hàng Active và Inactive.,"1. Click chọn bộ lọc trạng thái (Status Filter).
2. Chọn tùy chọn ""Inactive"".
3. Quan sát cột Status của các khách hàng hiển thị trong bảng.","Filter: ""Inactive""","1. Bảng chỉ hiển thị các khách hàng có trạng thái là ""Inactive"".
2. Không hiển thị bất kỳ khách hàng nào có trạng thái ""Active"".",High
